time,open,high,low,close,tick_volume
2019-11-25 00:00:00+00:00,1460.401,1462.041,1453.615,1453.832,49500
2019-11-26 00:00:00+00:00,1453.84,1462.764,1449.895,1460.485,49717
2019-11-27 00:00:00+00:00,1460.45,1461.141,1452.534,1456.845,48888
2019-11-28 00:00:00+00:00,1456.817,1458.191,1454.194,1456.016,31323
2019-11-29 00:00:00+00:00,1456.024,1466.444,1452.991,1463.914,41400
2019-12-01 00:00:00+00:00,1462.603,1462.603,1461.559,1461.778,1604
2019-12-02 00:00:00+00:00,1461.746,1465.735,1453.917,1462.598,55645
2019-12-03 00:00:00+00:00,1462.609,1481.689,1459.793,1476.582,60953
2019-12-04 00:00:00+00:00,1476.593,1483.956,1471.408,1475.523,61313
2019-12-05 00:00:00+00:00,1475.524,1480.262,1472.87,1475.925,55198
2019-12-06 00:00:00+00:00,1475.942,1479.211,1458.659,1459.856,52962
2019-12-08 00:00:00+00:00,1458.717,1459.945,1458.71,1459.899,1533
2019-12-09 00:00:00+00:00,1459.893,1465.306,1459.057,1461.044,46173
2019-12-10 00:00:00+00:00,1461.038,1469.082,1460.008,1463.853,51513
2019-12-11 00:00:00+00:00,1463.814,1478.821,1462.703,1474.533,51963
2019-12-12 00:00:00+00:00,1474.542,1486.641,1461.868,1465.021,62262
2019-12-13 00:00:00+00:00,1465.06,1477.957,1464.768,1475.616,62447
2019-12-15 00:00:00+00:00,1474.939,1474.987,1473.729,1474.073,1686
2019-12-16 00:00:00+00:00,1474.096,1479.786,1473.141,1475.303,48458
2019-12-17 00:00:00+00:00,1475.307,1480.418,1474.185,1475.58,46623
2019-12-18 00:00:00+00:00,1475.577,1479.229,1470.436,1475.724,45443
2019-12-19 00:00:00+00:00,1475.721,1481.614,1473.248,1478.396,45813
2019-12-20 00:00:00+00:00,1478.414,1480.893,1475.817,1477.897,40933
2019-12-22 00:00:00+00:00,1477.946,1478.58,1477.448,1478.463,1329
2019-12-23 00:00:00+00:00,1478.461,1486.068,1478.382,1485.406,42660
2019-12-24 00:00:00+00:00,1485.44,1500.412,1484.343,1499.587,35710
2019-12-26 00:00:00+00:00,1504.34,1512.501,1502.695,1511.122,35982
2019-12-27 00:00:00+00:00,1511.118,1515.222,1507.309,1510.913,47361
2019-12-29 00:00:00+00:00,1511.309,1513.889,1511.012,1513.466,1803
2019-12-30 00:00:00+00:00,1513.459,1516.028,1510.741,1514.854,44922
2019-12-31 00:00:00+00:00,1514.854,1525.185,1514.769,1522.657,39708
2020-01-02 00:00:00+00:00,1518.464,1531.275,1517.172,1528.743,49227
2020-01-03 00:00:00+00:00,1528.725,1553.419,1528.725,1551.883,66506
2020-01-05 00:00:00+00:00,1577.36,1582.102,1566.855,1569.216,5727
2020-01-06 00:00:00+00:00,1569.151,1579.966,1560.818,1563.706,71962
2020-01-07 00:00:00+00:00,1563.723,1598.344,1555.277,1595.013,74597
2020-01-08 00:00:00+00:00,1594.963,1611.365,1552.222,1558.022,102199
2020-01-09 00:00:00+00:00,1558.016,1561.257,1540.211,1552.626,69282
2020-01-10 00:00:00+00:00,1552.59,1563.049,1545.667,1561.958,59424
2020-01-12 00:00:00+00:00,1559.741,1560.563,1557.998,1559.187,1862
2020-01-13 00:00:00+00:00,1559.187,1559.957,1544.911,1545.188,56753
2020-01-14 00:00:00+00:00,1545.196,1549.935,1535.834,1549.498,62787
2020-01-15 00:00:00+00:00,1549.489,1558.082,1546.34,1556.252,59092
2020-01-16 00:00:00+00:00,1556.272,1558.037,1547.955,1552.144,53711
